"Country","Year","FoodCode","FoodName","AgeClass","SourceAgeClass","Gender","Number_of_consumers","Consumers_Mean","Consumers_Median","Consumers_P05__g_day_","Consumers_P90__g_day_","Consumers_P95__g_day_","Consumers_P975__g_day_","Consumers_Standard_deviation__g_day_","Number_of_subjects","Total_Mean","Total_Median","Total_P05__g_day_","Total_P90__g_day_","Total_P95__g_day_","Total_P975__g_day_","Total_Standard_deviation__g_day_","Intake_Unit"
"France","2007","A036Y","Maize oil, edible","Children and Adolescents","Other children","Female","1","0.11","0.11","0.11","-1","0.11","0.11","0","243","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A037A","Peanut oil, edible","Children and Adolescents","Other children","Female","25","0.05","0.02","0.01","-1","0.14","0.19","0.06","243","0","0","0","-1","0.03","0.05","0.02","g/kg.bw/day"
"France","2007","A007M","Dried egg pasta","Children and Adolescents","Other children","Female","19","0.4","0.31","0.13","-1","0.99","1.3","0.35","243","0.03","0","0","-1","0.27","0.36","0.14","g/kg.bw/day"
"France","2007","A007M","Dried egg pasta","Children and Adolescents","Other children","Male","24","0.42","0.31","0.17","-1","0.74","1.2","0.33","239","0.04","0","0","-1","0.31","0.48","0.16","g/kg.bw/day"
"France","2007","A04LC","Pasta wholemeal","Children and Adolescents","Other children","Female","3","0.4","0.36","0.22","-1","0.61","0.63","0.22","243","0","0","0","-1","0","0","0.05","g/kg.bw/day"
"France","2007","A04LC","Pasta wholemeal","Children and Adolescents","Other children","Male","2","0.69","0.69","0.49","-1","0.9","0.91","0.32","239","0.01","0","0","-1","0","0","0.07","g/kg.bw/day"
"France","2007","A009M","Common laminated dough","Children and Adolescents","Other children","Female","25","0.22","0.17","0.05","-1","0.56","0.63","0.16","243","0.02","0","0","-1","0.17","0.31","0.08","g/kg.bw/day"
"France","2007","A009M","Common laminated dough","Children and Adolescents","Other children","Male","14","0.23","0.25","0.05","-1","0.38","0.42","0.11","239","0.01","0","0","-1","0.13","0.25","0.06","g/kg.bw/day"
"France","2007","A008Y","Short pastry dough (pate brisee)","Children and Adolescents","Other children","Female","39","0.17","0.14","0.05","-1","0.36","0.38","0.1","243","0.03","0","0","-1","0.21","0.27","0.07","g/kg.bw/day"
"France","2007","A008Y","Short pastry dough (pate brisee)","Children and Adolescents","Other children","Male","44","0.23","0.17","0.06","-1","0.49","0.53","0.16","239","0.04","0","0","-1","0.3","0.39","0.11","g/kg.bw/day"
"France","2007","A012A","Broad beans (without pods)","Children and Adolescents","Other children","Female","1","0.84","0.84","0.84","-1","0.84","0.84","0","243","0","0","0","-1","0","0","0.05","g/kg.bw/day"
"France","2007","A012A","Broad beans (without pods)","Children and Adolescents","Other children","Male","3","0.82","0.51","0.2","-1","1.66","1.72","0.85","239","0.01","0","0","-1","0","0","0.12","g/kg.bw/day"
"France","2007","A012J","Garden peas (without pods)","Children and Adolescents","Other children","Female","126","0.45","0.35","0.04","-1","1.09","1.25","0.43","243","0.23","0.03","0","-1","0.89","1.11","0.38","g/kg.bw/day"
"France","2007","A012J","Garden peas (without pods)","Children and Adolescents","Other children","Male","120","0.41","0.31","0.04","-1","1.26","1.39","0.39","239","0.21","0.02","0","-1","0.99","1.26","0.34","g/kg.bw/day"
"France","2007","A012S","Beans (dry) and similar-","Children and Adolescents","Other children","Female","1","0.22","0.22","0.22","-1","0.22","0.22","0","243","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A012S","Beans (dry) and similar-","Children and Adolescents","Other children","Male","6","0.42","0.46","0.21","-1","0.57","0.59","0.15","239","0.01","0","0","-1","0","0.16","0.07","g/kg.bw/day"
"France","2007","A012V","Kidney bean (dry seeds)","Children and Adolescents","Other children","Female","3","0.23","0.17","0.14","-1","0.35","0.36","0.13","243","0","0","0","-1","0","0","0.03","g/kg.bw/day"
"France","2007","A012V","Kidney bean (dry seeds)","Children and Adolescents","Other children","Male","4","0.61","0.69","0.21","-1","0.92","0.94","0.35","239","0.01","0","0","-1","0","0","0.09","g/kg.bw/day"
"France","2007","A012X","Navy beans (dry seeds)","Children and Adolescents","Other children","Female","35","0.52","0.42","0.03","-1","1.35","1.61","0.44","243","0.07","0","0","-1","0.52","0.9","0.25","g/kg.bw/day"
"France","2007","A012X","Navy beans (dry seeds)","Children and Adolescents","Other children","Male","44","0.57","0.46","0.05","-1","1.24","1.41","0.42","239","0.1","0","0","-1","0.76","1.22","0.28","g/kg.bw/day"
"France","2007","A012Z","Flageolets (dry seeds)","Children and Adolescents","Other children","Female","40","0.37","0.23","0.06","-1","1.03","1.16","0.38","243","0.06","0","0","-1","0.45","0.6","0.21","g/kg.bw/day"
"France","2007","A012Z","Flageolets (dry seeds)","Children and Adolescents","Other children","Male","45","0.29","0.16","0.06","-1","0.65","0.88","0.28","239","0.06","0","0","-1","0.47","0.54","0.17","g/kg.bw/day"
"France","2007","A013Q","Lentils (dry)","Children and Adolescents","Other children","Female","44","0.95","0.85","0.32","-1","2.31","2.46","0.6","243","0.17","0","0","-1","1.14","1.43","0.45","g/kg.bw/day"
"France","2007","A046G","Fruit sauce","Children and Adolescents","Other children","Female","3","0.34","0.34","0.18","-1","0.5","0.51","0.18","243","0","0","0","-1","0","0","0.04","g/kg.bw/day"
"France","2007","A043G","Stock cubes or granulate, chicken","Children and Adolescents","Other children","Female","14","0","0","0","-1","0.01","0.01","0","243","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A043G","Stock cubes or granulate, chicken","Children and Adolescents","Other children","Male","11","0.01","0.01","0.01","-1","0.03","0.03","0.01","239","0","0","0","-1","0","0.01","0","g/kg.bw/day"
"France","2007","A043H","Stock cube or granulate, beef","Children and Adolescents","Other children","Female","92","0.01","0","0","-1","0.02","0.06","0.02","243","0","0","0","-1","0.01","0.02","0.02","g/kg.bw/day"
"France","2007","A043H","Stock cube or granulate, beef","Children and Adolescents","Other children","Male","82","0","0","0","-1","0.03","0.03","0.01","239","0","0","0","-1","0.01","0.02","0.01","g/kg.bw/day"
"France","2007","A043P","Yeast extract","Children and Adolescents","Other children","Female","45","0","0","0","-1","0","0","0","243","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A043P","Yeast extract","Children and Adolescents","Other children","Male","41","0","0","0","-1","0","0","0","239","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A042P","Salt","Children and Adolescents","Other children","Female","239","0.05","0.04","0","-1","0.14","0.16","0.04","243","0.04","0.04","0","-1","0.14","0.16","0.04","g/kg.bw/day"
"France","2007","A042P","Salt","Children and Adolescents","Other children","Male","237","0.05","0.04","0.01","-1","0.13","0.16","0.05","239","0.05","0.04","0","-1","0.13","0.16","0.05","g/kg.bw/day"
"France","2007","A042X","Sea salt","Children and Adolescents","Other children","Female","8","0.03","0.03","0.01","-1","0.08","0.08","0.03","243","0","0","0","-1","0","0.01","0.01","g/kg.bw/day"
"France","2007","A042X","Sea salt","Children and Adolescents","Other children","Male","7","0.04","0.03","0.01","-1","0.09","0.09","0.04","239","0","0","0","-1","0","0.01","0.01","g/kg.bw/day"
"France","2007","A043A","Curry powder","Children and Adolescents","Other children","Female","2","0.01","0.01","0.01","-1","0.02","0.02","0","243","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A043A","Curry powder","Children and Adolescents","Other children","Male","5","0.01","0.01","0.01","-1","0.01","0.02","0","239","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A011D","Potato flakes","Children and Adolescents","Other children","Female","26","0.1","0.1","0.05","-1","0.14","0.19","0.05","243","0.01","0","0","-1","0.1","0.12","0.03","g/kg.bw/day"
"France","2007","A011D","Potato flakes","Children and Adolescents","Other children","Male","24","0.12","0.1","0.05","-1","0.23","0.25","0.06","239","0.01","0","0","-1","0.1","0.14","0.04","g/kg.bw/day"
"France","2007","A00ZT","Potatoes","Children and Adolescents","Other children","Female","185","1.33","1.09","0.18","-1","3.01","3.69","1.08","243","1.01","0.78","0","-1","2.88","3.49","1.1","g/kg.bw/day"
"France","2007","A00ZT","Potatoes","Children and Adolescents","Other children","Male","188","1.33","0.99","0.18","-1","3.22","4.09","1.34","239","1.05","0.64","0","-1","3.19","3.5","1.31","g/kg.bw/day"
"France","2007","A010C","Sweet potatoes","Children and Adolescents","Other children","Male","2","0.43","0.43","0.36","-1","0.5","0.51","0.11","239","0","0","0","-1","0","0","0.04","g/kg.bw/day"
"France","2007","A0EQQ","Candies (soft and hard)","Children and Adolescents","Other children","Female","88","0.19","0.13","0.02","-1","0.61","0.72","0.19","243","0.07","0","0","-1","0.39","0.5","0.15","g/kg.bw/day"
"France","2007","A0EQQ","Candies (soft and hard)","Children and Adolescents","Other children","Male","91","0.24","0.17","0.02","-1","0.65","0.89","0.28","239","0.09","0","0","-1","0.41","0.45","0.21","g/kg.bw/day"
"France","2007","A035L","Jelly candies","Children and Adolescents","Other children","Female","21","0.16","0.12","0.03","-1","0.29","0.65","0.21","243","0.01","0","0","-1","0.11","0.16","0.08","g/kg.bw/day"
"France","2007","A013Q","Lentils (dry)","Children and Adolescents","Other children","Male","60","1.04","0.89","0.24","-1","2.29","3.29","0.83","239","0.26","0","0","-1","1.54","1.77","0.61","g/kg.bw/day"
"France","2007","A013J","Garden peas (dry)","Children and Adolescents","Other children","Female","2","0.83","0.83","0.4","-1","1.25","1.28","0.67","243","0.01","0","0","-1","0","0","0.09","g/kg.bw/day"
"France","2007","A013J","Garden peas (dry)","Children and Adolescents","Other children","Male","3","0.97","1.19","0.55","-1","1.24","1.24","0.43","239","0.01","0","0","-1","0","0","0.12","g/kg.bw/day"
"France","2007","A013M","Chickpeas (dry)","Children and Adolescents","Other children","Female","10","0.25","0.22","0.08","-1","0.55","0.63","0.19","243","0.01","0","0","-1","0","0.17","0.06","g/kg.bw/day"
"France","2007","A013M","Chickpeas (dry)","Children and Adolescents","Other children","Male","3","0.79","0.84","0.11","-1","1.44","1.47","0.74","239","0.01","0","0","-1","0","0","0.11","g/kg.bw/day"
"France","2007","A015F","Oilseeds","Children and Adolescents","Other children","Female","3","0.1","0.11","0.06","-1","0.12","0.12","0.04","243","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A015H","Peanuts","Children and Adolescents","Other children","Female","19","0.12","0.13","0.03","-1","0.26","0.27","0.07","243","0.01","0","0","-1","0.1","0.15","0.04","g/kg.bw/day"
"France","2007","A015H","Peanuts","Children and Adolescents","Other children","Male","15","0.16","0.14","0.03","-1","0.41","0.63","0.2","239","0.01","0","0","-1","0.05","0.14","0.06","g/kg.bw/day"
"France","2007","A015K","Sesame seeds","Children and Adolescents","Other children","Male","1","0.01","0.01","0.01","-1","0.01","0.01","0","239","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A015L","Sunflower seeds","Children and Adolescents","Other children","Female","1","0.01","0.01","0.01","-1","0.01","0.01","0","243","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A014F","Almonds sweet","Children and Adolescents","Other children","Female","5","0.03","0.03","0.01","-1","0.05","0.06","0.02","243","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A014F","Almonds sweet","Children and Adolescents","Other children","Male","1","0.03","0.03","0.03","-1","0.03","0.03","0","239","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A014H","Cashew nuts","Children and Adolescents","Other children","Female","4","0.18","0.12","0.06","-1","0.38","0.4","0.16","243","0","0","0","-1","0","0","0.03","g/kg.bw/day"
"France","2007","A014J","Chestnuts","Children and Adolescents","Other children","Female","2","0.88","0.88","0.6","-1","1.15","1.17","0.43","243","0.01","0","0","-1","0","0","0.08","g/kg.bw/day"
"France","2007","A014J","Chestnuts","Children and Adolescents","Other children","Male","5","0.29","0.29","0.24","-1","0.35","0.35","0.05","239","0.01","0","0","-1","0","0","0.04","g/kg.bw/day"
"France","2007","A014L","Hazelnuts","Children and Adolescents","Other children","Female","4","0.07","0.07","0.03","-1","0.11","0.11","0.04","243","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A014L","Hazelnuts","Children and Adolescents","Other children","Male","1","0.32","0.32","0.32","-1","0.32","0.32","0","239","0","0","0","-1","0","0","0.02","g/kg.bw/day"
"France","2007","A01BV","Pine nut kernels","Children and Adolescents","Other children","Female","1","0.01","0.01","0.01","-1","0.01","0.01","0","243","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A014Q","Pistachios","Children and Adolescents","Other children","Female","4","0.06","0.04","0.02","-1","0.13","0.14","0.06","243","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A014Q","Pistachios","Children and Adolescents","Other children","Male","7","0.11","0.08","0.03","-1","0.24","0.25","0.08","239","0","0","0","-1","0","0.05","0.02","g/kg.bw/day"
"France","2007","A014R","Walnuts","Children and Adolescents","Other children","Female","9","0.1","0.05","0.01","-1","0.35","0.4","0.14","243","0","0","0","-1","0","0.03","0.03","g/kg.bw/day"
"France","2007","A037A","Peanut oil, edible","Children and Adolescents","Other children","Male","28","0.07","0.03","0","-1","0.15","0.36","0.15","239","0.01","0","0","-1","0.03","0.08","0.05","g/kg.bw/day"
"France","2007","A037D","Sunflower seed oil, edible","Children and Adolescents","Other children","Female","151","0.15","0.07","0","-1","0.58","0.8","0.22","243","0.09","0.02","0","-1","0.36","0.62","0.19","g/kg.bw/day"
"France","2007","A037D","Sunflower seed oil, edible","Children and Adolescents","Other children","Male","156","0.17","0.06","0","-1","0.69","1.03","0.31","239","0.11","0.02","0","-1","0.45","0.94","0.26","g/kg.bw/day"
"France","2007","A037F","Grape seed oil","Children and Adolescents","Other children","Female","7","0.35","0.48","0.06","-1","0.65","0.69","0.26","243","0.01","0","0","-1","0","0.1","0.07","g/kg.bw/day"
"France","2007","A037F","Grape seed oil","Children and Adolescents","Other children","Male","3","0.11","0.14","0.07","-1","0.14","0.14","0.04","239","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A037K","Walnut oil","Children and Adolescents","Other children","Female","4","0.06","0.06","0.02","-1","0.1","0.1","0.05","243","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A037K","Walnut oil","Children and Adolescents","Other children","Male","2","0.08","0.08","0.06","-1","0.09","0.09","0.03","239","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A036N","Vegetable fats and oils, edible","Children and Adolescents","Other children","Female","190","0.1","0.05","0.01","-1","0.42","0.56","0.17","243","0.08","0.03","0","-1","0.29","0.54","0.16","g/kg.bw/day"
"France","2007","A036N","Vegetable fats and oils, edible","Children and Adolescents","Other children","Male","195","0.1","0.04","0.01","-1","0.41","0.52","0.14","239","0.08","0.04","0","-1","0.33","0.47","0.14","g/kg.bw/day"
"France","2007","A039C","Butter","Children and Adolescents","Other children","Female","238","0.41","0.33","0.04","-1","1.19","1.28","0.34","243","0.4","0.31","0.03","-1","1.18","1.28","0.34","g/kg.bw/day"
"France","2007","A039C","Butter","Children and Adolescents","Other children","Male","231","0.41","0.35","0.02","-1","1.03","1.16","0.34","239","0.39","0.34","0.01","-1","1.03","1.16","0.34","g/kg.bw/day"
"France","2007","A039E","Blended margarine","Children and Adolescents","Other children","Female","38","0.21","0.14","0.03","-1","0.57","0.6","0.17","243","0.03","0","0","-1","0.24","0.41","0.1","g/kg.bw/day"
"France","2007","A039E","Blended margarine","Children and Adolescents","Other children","Male","32","0.31","0.2","0.03","-1","0.86","0.95","0.3","239","0.04","0","0","-1","0.31","0.62","0.15","g/kg.bw/day"
"France","2007","A039H","Functional vegetable margarines/fats","Children and Adolescents","Other children","Female","38","0.27","0.2","0.03","-1","0.56","0.69","0.27","243","0.04","0","0","-1","0.31","0.46","0.14","g/kg.bw/day"
"France","2007","A039H","Functional vegetable margarines/fats","Children and Adolescents","Other children","Male","21","0.31","0.21","0.03","-1","0.71","0.81","0.26","239","0.03","0","0","-1","0.18","0.44","0.12","g/kg.bw/day"
"France","2007","A039D","Traditional margarine","Children and Adolescents","Other children","Female","126","0.16","0.09","0.01","-1","0.55","0.71","0.18","243","0.08","0.01","0","-1","0.4","0.56","0.15","g/kg.bw/day"
"France","2007","A039D","Traditional margarine","Children and Adolescents","Other children","Male","99","0.15","0.08","0.01","-1","0.48","0.61","0.16","239","0.06","0","0","-1","0.35","0.45","0.13","g/kg.bw/day"
"France","2007","A03KY","Cocoa beverages","Children and Adolescents","Other children","Female","32","4.02","2.74","0.81","-1","9.53","15.32","5.71","243","0.53","0","0","-1","3.57","4.95","2.46","g/kg.bw/day"
"France","2007","A03KY","Cocoa beverages","Children and Adolescents","Other children","Male","31","4.86","2.14","0.91","-1","16.22","18.3","5.22","239","0.63","0","0","-1","2.8","8.58","2.47","g/kg.bw/day"
"France","2007","A03KB","Coffee espresso (beverage)","Children and Adolescents","Other children","Female","4","1.61","1.63","1.16","-1","2.03","2.03","0.48","243","0.03","0","0","-1","0","0","0.21","g/kg.bw/day"
"France","2007","A03KB","Coffee espresso (beverage)","Children and Adolescents","Other children","Male","4","0.44","0.43","0.35","-1","0.55","0.55","0.1","239","0.01","0","0","-1","0","0","0.06","g/kg.bw/day"
"France","2007","A041E","Rice pudding","Children and Adolescents","Other children","Female","8","0.49","0.51","0.34","-1","0.62","0.62","0.11","243","0.02","0","0","-1","0","0.38","0.09","g/kg.bw/day"
"France","2007","A041E","Rice pudding","Children and Adolescents","Other children","Male","4","0.59","0.52","0.28","-1","1","1.04","0.36","239","0.01","0","0","-1","0","0","0.09","g/kg.bw/day"
"France","2007","A040L","Cheese-based canape","Children and Adolescents","Other children","Female","6","0.53","0.61","0.11","-1","0.9","0.93","0.34","243","0.01","0","0","-1","0","0","0.1","g/kg.bw/day"
"France","2007","A040L","Cheese-based canape","Children and Adolescents","Other children","Male","3","0.27","0.29","0.18","-1","0.35","0.35","0.1","239","0","0","0","-1","0","0","0.03","g/kg.bw/day"
"France","2007","A00FD","Tortilla chips","Children and Adolescents","Other children","Female","1","0.03","0.03","0.03","-1","0.03","0.03","0","243","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A00FD","Tortilla chips","Children and Adolescents","Other children","Male","1","0.05","0.05","0.05","-1","0.05","0.05","0","239","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2007","A0BYS","Potato crisps from potato slices","Children and Adolescents","Other children","Female","53","0.18","0.11","0.04","-1","0.58","0.68","0.17","243","0.04","0","0","-1","0.25","0.41","0.11","g/kg.bw/day"
"France","2007","A0BYS","Potato crisps from potato slices","Children and Adolescents","Other children","Male","47","0.23","0.16","0.04","-1","0.72","0.83","0.22","239","0.05","0","0","-1","0.28","0.49","0.13","g/kg.bw/day"
"France","2007","A011T","Potato starch-based snacks","Children and Adolescents","Other children","Female","4","0.14","0.08","0.07","-1","0.29","0.31","0.12","243","0","0","0","-1","0","0","0.02","g/kg.bw/day"
"France","2007","A011T","Potato starch-based snacks","Children and Adolescents","Other children","Male","3","0.21","0.2","0.18","-1","0.24","0.24","0.03","239","0","0","0","-1","0","0","0.02","g/kg.bw/day"
"France","2007","A01QG","Fruit salad","Children and Adolescents","Other children","Female","29","0.97","0.81","0.42","-1","1.88","2.04","0.52","243","0.12","0","0","-1","0.85","1.4","0.36","g/kg.bw/day"
"France","2007","A01QG","Fruit salad","Children and Adolescents","Other children","Male","36","1.18","0.91","0.34","-1","3.4","4.2","1.12","239","0.18","0","0","-1","1.09","1.46","0.61","g/kg.bw/day"
